,Accuracy,Precision,Recall,F1-Score,Train Time (s)
Decision Tree,0.9996145148026315,0.9995374890796033,0.9996916118421053,0.9996145445201079,0.58
Random Forest,0.9998458059210527,1.0,0.9996916118421053,0.999845782141572,6.03
XGBoost,0.9998201069078947,0.999845797995374,0.9997944078947368,0.999820102284701,0.67
KNN,0.9991005345394737,0.9988697662471102,0.9993318256578947,0.9991007425297397,0.02
SVM,0.9960423519736842,0.9996376061296335,0.992444490131579,0.9960280614876715,25.08
